Method,Name,Error,Occurrences
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 2c6883ab-3bcc-4284-98bd-d6bde73c4b94.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request ce7f5ed8-af58-4a20-9431-0b34348226ae.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 01fc81a1-b5df-49a6-9145-0d9b01579411.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 8f907dfc-c028-4ffe-aca4-74dbbeb41a20.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 8a9031e3-1c2e-413f-a3fa-69a79787203d.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request bf4deb48-19c5-4084-aa57-ca7a97cf22a5.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 3ed57828-dc91-4bf7-ab21-15b44b1d0814.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request a9245bae-fd3e-48e7-9874-35929109a570.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 9499fdce-4063-453b-93ce-47995a45ea5d.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 14dc8294-8562-4e0f-8179-636d2f3b70c0.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 973325a1-133a-45f6-9194-f3eff4b69b5b.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request ea3eb8e0-42f9-4ad3-a726-acb58780b1c6.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 200127c2-3758-43aa-b821-912b6f8ed7c8.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 6ec37374-4ec3-4ca5-afa2-d0123e9ffb73.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 6763f793-636f-42aa-8937-24b89d8bb471.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 7a13b55b-f8a0-4e4e-9b9e-0aa5b89cdbc9.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request aab9deec-59b3-4812-8246-cdba661df29a.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 7b864602-6024-490b-8f2e-f9cb11b04bf2.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 1072135a-ac8d-4e2b-8f3d-b89cceb8bbdb.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 6207a87f-0f6e-42fd-bff5-28d25bc844b5.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 204baafa-04ad-435b-82a4-eeec24d2d3c7.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 46f72796-9102-4623-9dfd-1940ca2dab68.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 27f5203f-b74e-4ad7-8271-027c08600e62.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request a8cc1aac-3e24-41de-aa12-04025868f51b.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request e8649142-8cc2-4336-a815-80a533a7d3d4.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 760d933e-70cb-4736-8eab-259010b9868f.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request ada35304-d9f9-4d28-bd1f-99a52e00f2fb.')""",1
